sku,category,name,rrp,npp,ean,tariff,weight,size,tax_class
HO-40456,HOBBY,"Himalaya Rock L  1,5 - 2,5 kg",13.69,6.83,4 011444404565,25309000000,2,17 x 1 x 7,1
HO-40454,HOBBY,"Himalaya Rock M  0,7 - 1,4 kg",6.89,3.41,4 011444404541,25309000000,1.35,9 x 17 x 5,1
HO-40226,HOBBY,"Hobby Sea Shells L / 1 Stück
 ( Einsiedler Gehäuse )",1.4,0.6, ,39269097,0.01,,1
HO-74900,HOBBY,Holzkiste  ,0,10.99,4 011444749000,,0,,1
HO-20999,HOBBY,Humin superaktiv  1.200 ml,6.49,3.23,4 011444209993,27030000,0.51,19 x 14 x 5,1
HO-51559,HOBBY,"Hygrophila  13 cm, SB",3.99,1.95,4 011444515599,67021000000,0.04,18 x 11 x 4,1
HO-51560,HOBBY,"Hygrophila  20 cm, SB",5.79,2.6,4 011444515605,67021000000,0.05,25 x 11 x 4,1
HO-40515,HOBBY,"Island Lava L  2,0-3,5 kg",14.19,7.09,4 011444405159,25174900,2.72,13 x 14 x 20,1
HO-40514,HOBBY,"Island Lava M  1,0-2,0 kg",8.29,4.12,4 011444405142,25174900,1.4,8 x 15 x 16,1
HO-63001,HOBBY,je 1 Winkel + Muffe 10 / 12  SB,1.49,0.52,4 011444630018,39269097900,0,12 x 8 x 1,1
HO-63021,HOBBY,je 1 Winkel + Muffe 11 / 13  SB,1.69,0.66,4 011444630216,39269097900,0,12 x 8 x 1,1
HO-63201,HOBBY,je 1 Winkel + Muffe 12 / 14  SB,1.49,0.59,4 011444632012,39269097900,0,12 x 8 x 1,1
HO-41621,HOBBY,"Jungle Wood 2 21,5 x 14,5 x 15 cm",19.09,9.53,4 011444416216,39264000,0.36,14 x 21 x 15,1
HO-41623,HOBBY,"Jungle Wood 4 33 x 21,5 x 7 cm",22.49,11.22,4 011444416230,39264000,0.49,7 x 33 x 23,1
HO-61750,HOBBY,"Kautschuksauger, für Thermometer  ",0.69,0.29,4 011444617507,39269097900,0,2 x 2 x 2,1
HO-61751,HOBBY,"Kautschuksauger, für Thermometer  2 St., SB",1.79,0.78,4 011444617514,39269097900,0,12 x 8 x 3,1
HO-00860,HOBBY,"Keramikausströmer  100 mm, SB",5.79,2.89,4 011444008602,69149000,0.02,22 x 7 x 1,1
HO-00870,HOBBY,"Keramikausströmer  150 mm, SB",6.69,3.29,4 011444008701,69149000,0.04,27 x 7 x 1,1
HO-00845,HOBBY,"Keramikausströmer  50 mm, SB",3.69,1.83,4 011444008459,69149000900,0.02,17 x 7 x 1,1
HO-51098,HOBBY,KH Fit  250 g,10.09,5.01,4 011444510983,38249996000,0.25,12 x 6 x 6,1
HO-60500,HOBBY,Klebethermometer  SB,3.09,1.48,4 011444605009,90251900000,0,22 x 7 x 0,1
HO-61800,HOBBY,Krallensauger  ,0.41,0.21,4 011444618009,39269097900,0,1 x 2 x 2,1
HO-61801,HOBBY,"Krallensauger  2 St., SB",1.49,0.57,4 011444618016,39269097900,0,12 x 8 x 1,1
